region,zone,woreda,hf_name,hf_type,y,x,x1,n,e,z,owner,status
Addis Ababa,Nifas silk Lafto,Nifas silk Lafto,Harer higer clinic,Health Center,8.996833,38.736200,2289.000000,471004.339985,994512.517980,0.000000,,
Addis Ababa,Bole,Bole,Hayat privat hospital,Hospital,8.990133,38.790483,2326.000000,476970.514983,993767.926194,0.000000,,
Addis Ababa,Akaki Kality,Akaki Kality,Kality HC,Health Center,8.911000,38.772000,2142.000000,474933.452357,985020.334554,0.000000,,
Addis Ababa,Arada,Arada,Katederal HC,Health Center,9.024817,38.743317,2487.000000,471788.746518,997605.753237,0.000000,,
Addis Ababa,Kirkos,Kirkos,Kazanchis HC,Health Center,9.008050,38.770083,2360.000000,474729.436453,995750.101789,0.000000,,
Addis Ababa,Lideta,Lideta,Kebele 18 HC,Health Center,9.023267,38.735883,2418.000000,470971.642993,997434.970031,0.000000,,
Addis Ababa,Arada,Arada,Kebena HC,Health Center,9.025733,38.772567,2438.000000,475003.601832,997704.967802,0.000000,,
Addis Ababa,Arada,Arada,Kibre higher clinic,Clinic,9.021667,38.754283,2372.000000,472993.831164,997256.665578,0.000000,,
Addis Ababa,Kirkos,Kirkos,Kirkos HC,Health Center,9.016333,38.742217,2329.000000,471667.186596,996667.934558,0.000000,,
Addis Ababa,kolfe keraniyo,kolfe keraniyo,Kolfe HC,Health Center,9.040200,38.706750,2499.000000,467771.154941,999309.541484,0.000000,,
Addis Ababa,kolfe keraniyo,kolfe keraniyo,Kolfe higher clinic,Clinic,9.036500,38.709267,2492.000000,468047.418552,998900.252422,0.000000,,
Addis Ababa,Addis Ketema,Yeka,Kotebe HC,Health Center,9.025133,38.824433,2416.000000,480704.072551,997635.488019,0.000000,,
Addis Ababa,Kirkos,Kirkos,Kt gebrel HC,Health Center,9.003417,38.755550,2343.000000,473131.699956,995238.884113,0.000000,,
Addis Ababa,Lideta,Lideta,Ledeta HC,Health Center,9.003200,38.742167,2310.000000,471660.667831,995215.938863,0.000000,,
Addis Ababa,Bole,Bole,Magenagna higher clinic,Clinic,9.008833,38.789700,2383.000000,476885.599827,995835.408641,0.000000,,
Addis Ababa,Kirkos,Kirkos,Marie stopes clinic meshalokia branch,Health Center,8.990767,38.755150,2325.000000,473086.799728,993840.352743,0.000000,,
Addis Ababa,Yeka,Yeka,Megbare senay HC,Health Center,9.021233,38.774833,2376.000000,475252.417782,997207.301672,0.000000,,
Addis Ababa,Bole,Bole,Merih hospital,Hospital,8.990650,38.808383,2333.000000,478938.070039,993823.971434,0.000000,,
Addis Ababa,Arada,Arada,Mery stopes arada  worada,Health Center,9.024883,38.763333,2424.000000,473988.732313,997611.638049,0.000000,,
Addis Ababa,Kirkos,Kirkos,Meshualekia HC,Health Center,9.008333,38.757350,2347.000000,473329.905347,995782.330306,0.000000,,
Addis Ababa,Nifas silk Lafto,Nifas silk Lafto,Nifas silk laffto no 01 HC,Health Center,8.957967,38.758683,2272.000000,473472.793159,990213.792888,0.000000,,
Addis Ababa,Nefas silk lafto,Nifas silk Lafto,Nifas silk lafto no 02 HC,Health Center,8.986267,38.720700,2298.000000,469299.750004,993345.546721,0.000000,,
Addis Ababa,Lideta,Lideta,Police referal hospital,Hospital,9.007500,38.737350,2351.000000,471131.589337,995691.716105,0.000000,,
Addis Ababa,Arada,Arada,Ras desta hospital,Hospital,9.040033,38.739817,2491.000000,471405.269441,999288.357225,0.000000,,
Addis Ababa,Gulele,Gulele,Selam HC,Health Center,9.052550,38.724333,2563.000000,469704.651107,1000673.43410,0.000000,,
Addis Ababa,Gulele,Gulele,Sheromeda HC,Health Center,9.053283,38.755167,2458.000000,473093.263204,1000752.08860,0.000000,,
Addis Ababa,Bole,Bole,St. gebrel hospital,Hospital,9.005750,38.786850,2370.000000,476572.151975,995494.702767,0.000000,,
Addis Ababa,Bole,Bole,St.geberel hospital,Hospital,9.008683,38.743300,2363.000000,471785.662290,995822.079402,0.000000,,
Addis Ababa,Gulele,Gulele,St.paul specialized referal hospital,Hospital,9.041983,38.723967,2546.000000,469663.469660,999505.227442,0.000000,,
Addis Ababa,Addis Ketema,Addis Ketema,St.peter's tb specialized hospital,Hospital,9.036433,38.720500,2476.000000,469282.003977,998891.916898,0.000000,,
Addis Ababa,Lideta,Lideta,Tekele hamanot HC,Health Center,9.023233,38.741467,2412.000000,471585.293660,997430.845786,0.000000,,
Addis Ababa,Arada,Arada,Tesfa higher clinic,Clinic,9.025383,38.765000,2409.000000,474171.946808,997666.798904,0.000000,,
Addis Ababa,Kirkos,Kirkos,Universal higher clinic,Health Center,9.009283,38.753817,2641.000000,472941.618766,995887.620038,0.000000,,
Addis Ababa,Addis Ketema,Addis Ketema,Woreda 07 HC,Health Center,9.035267,38.720300,2460.000000,469259.924242,998762.948609,0.000000,,
Addis Ababa,Lideta,Lideta,Woreda 24 HC,Health Center,8.992383,38.719833,2324.000000,469205.003223,994021.868338,0.000000,,
Addis Ababa,Yeka,Yeka,Yeka HC,Health Center,9.021833,38.789833,2410.000000,476901.080883,997272.654438,0.000000,,
Addis Ababa,Arada,Arada,Yekatit 12 hospital,Hospital,9.039467,38.756533,2488.000000,473242.437633,999224.438694,0.000000,,
Addis Ababa,Kirkos,Kirkos,Zewditu memorial hospital,Hospital,9.015500,38.803167,2330.000000,478366.144511,996571.637909,0.000000,,
Afar,Zone 2,Abl'ala,Abaala HC,Health Center,13.342167,39.751700,1454.000000,581404.354203,1475098.38048,0.000000,,
Afar,Zone 3,Awash Fentale,Awash HC,Health Center,8.990683,40.157867,901.000000,627277.292225,994023.148873,0.000000,,
Afar,Zone 1,Aysaita,Aysaita HC,Health Center,11.570650,41.426333,392.000000,764612.294830,1280201.96518,0.000000,,
Afar,Zone 2,Berhale,Berhale HC,Health Center,13.837167,40.003800,711.000000,608481.982734,1529945.15812,0.000000,,
Afar,Zone 1,Chifra,Chifra HC,Health Center,11.592433,40.029333,933.000000,612223.393305,1281688.94455,0.000000,,
Afar,Zone 5,Dalifage,Dalifage HC,Health Center,10.624467,40.309567,619.000000,643251.830190,1174758.91654,0.000000,,
Afar,Zone 3,Buromedgto,Debel HC,Health Center,9.974650,40.530000,567.000000,667712.971357,1102997.64548,0.000000,,
Afar,Zone 1,Dubti,Dubti hospital,Hospital,11.724383,41.094000,362.000000,728226.823891,1296924.52882,0.000000,,
Afar,Zone 1,Elidar,Elidar HC,Health Center,12.064667,41.918483,389.000000,817753.776689,1335396.95501,0.000000,,
Afar,Zone 3,Gewane 03,Gewane HC,Health Center,10.156967,40.658500,653.000000,681700.197036,1123231.20605,0.000000,,
Afar,Zone 4,Gulina,Kelwan HC,Health Center,12.140867,39.975767,860.000000,606170.307706,1342320.62583,0.000000,,
Afar,Zone 3,Amibara 01,Melka worer HC,Health Center,9.335067,40.174417,738.000000,628972.457068,1032110.98333,0.000000,,
Afar,Zone 3,Amibara 01,National hospital,Hospital,9.254283,40.155767,761.000000,626953.186438,1023171.16673,0.000000,,
Afar,Zone 1,Dubti,Semera HC,Health Center,11.790617,41.008333,426.000000,718833.971054,1304184.53272,0.000000,,
Afar,Zone 5,Telalak,Telalak HC,Health Center,10.921450,40.205800,866.000000,631770.068460,1207556.87668,0.000000,,
Afar,Zone 4,Yallo,Yallo HC,Health Center,12.358017,39.875867,864.000000,595221.764899,1366298.70343,0.000000,,
Amahara,Awi,Gnagua / Changni Town/,Addis kedam HC,Health Center,11.096833,36.890167,2437.000000,269540.703151,1227503.32068,0.000000,,
Amahara,South Gondar,Libo Kemkem,Addis zemen HC,Health Center,12.121233,37.774050,1941.000000,366594.788538,1340259.16259,0.000000,,
Amahara,West Gojjam,Yilmana Denssa,Adet HC,Health Center,11.256150,37.488633,2225.000000,335018.897492,1244727.11003,0.000000,,
Amahara,North Gondar,Adiarkay,Adiarkay HC,Health Center,13.443317,38.055117,1579.000000,397716.319262,1486357.37542,0.000000,,
Amahara,West Gojjam,Gonj Kollela,Adis alem HC,Health Center,11.218950,37.673583,2246.000000,355193.102118,1240515.16813,0.000000,,
Amahara,South Wollo,Tenta,Adjibar HC,Health Center,11.236733,39.240117,2915.000000,526210.184732,1242166.05576,0.000000,,
Amahara,Awi,Injibar Town,Agewgemjabet HC,Health Center,10.853567,36.892117,2336.000000,269565.189947,1200586.73919,0.000000,,
Amahara,West Gojjam,Sekela,Agut HC,Health Center,10.840150,37.158500,2350.000000,298687.423521,1198913.41946,0.000000,,
Amahara,North Shoa,Merabetie,Alem ketema enat hospital,Hospital,10.058050,38.989200,2257.000000,498816.579188,1111830.73442,0.000000,,
Amahara,South Gondar,Fogera,Alember HC,Health Center,11.906783,37.876517,2063.000000,377649.543246,1316493.46894,0.000000,,
Amahara,East Gojjam,Machakel,Amanuel HC,Health Center,10.439500,37.559617,2389.000000,342341.577191,1154364.94712,0.000000,,
Amahara,North Gondar,Wogera,Amba giorgis HC,Health Center,12.768500,37.619683,2960.000000,350165.891699,1411934.18250,0.000000,,
Amahara,East Gojjam,Aneded,Ambere HC,Health Center,10.264500,37.839583,2414.000000,372919.549924,1134886.11360,0.000000,,
Amahara,Waghimra,Dhana,Amdework HC,Health Center,12.422467,38.707950,2552.000000,468257.944137,1373287.28650,0.000000,,
Amahara,South Gondar,Dera,Anbesamie HC,Health Center,11.702667,37.624233,2073.000000,350059.846588,1294040.62677,0.000000,,
Amahara,West Gojjam,Bihar Dar zuria,Andassa HC,Health Center,11.510333,37.485283,1819.000000,334799.866131,1272844.00520,0.000000,,
Amahara,North Shoa,Ankober,Ankober health centre,Health Center,9.605517,39.735517,2964.000000,580706.755877,1061883.97677,0.000000,,
Amahara,North Gondar,West Belesa,Arbaya HC,Health Center,12.473800,37.822400,1798.000000,372027.548796,1379230.49167,0.000000,,
Amahara,South Gondar,Tach Gaynt,Arbgebaya HC,Health Center,11.609133,38.535200,2643.000000,449330.053405,1283374.32080,0.000000,,
Amahara,North Shoa,Asagirt,Asagirt health centre,Health Center,9.340333,39.570000,3167.000000,562592.302451,1032529.36528,0.000000,,
Amahara,North Gondar,West Belesa,Ashker terara HC,Health Center,12.337850,37.875083,1852.000000,377690.022698,1364169.46294,0.000000,,
Amahara,Waghimra,Asketema,Asketema HC,Health Center,12.408783,39.008467,2381.000000,500920.261544,1371756.77652,0.000000,,
Amahara,North Shoa,Efrata Gidim,Ataye health centre,Health Center,10.335000,39.956133,1451.000000,604683.384982,1142608.35967,0.000000,,
Amahara,North Gondar,Alefa,Atsede mariam HC,Health Center,12.005017,36.837167,2213.000000,264508.848590,1328033.18504,0.000000,,
Amahara,North Wollo,Ayina Bugna,Ayina HC,Health Center,12.158517,38.835417,2642.000000,482094.122220,1344087.61433,0.000000,,
Amahara,North Gondar,chilga,Aykel HC,Health Center,12.553050,37.068333,2242.000000,290122.680392,1388479.19818,0.000000,,
Amahara,North Gondar,Gondar town,Azezo HC,Health Center,12.554000,37.424800,2061.000000,328863.636723,1388326.52668,0.000000,,
Amahara,Bahirdar Liyu,Bahirdar administration,Bahirdar HC,Health Center,11.590317,37.376217,1797.000000,322952.052224,1281756.45915,0.000000,,
Amahara,South Wollo,Dessie Town,Bati general hospital,Hospital,11.144000,39.626083,2507.000000,568363.603682,1231973.84914,0.000000,,
Amahara,Oromia,Bati,Bati HC,Health Center,11.189550,40.019800,1665.000000,611340.557778,1237130.49505,0.000000,,
Amahara,East Gojjam,Enemay,Bichena HC,Health Center,10.443317,38.192200,2533.000000,411588.625545,1154540.78071,0.000000,,
Amahara,South Wollo,Werebabo,Bistima HC,Health Center,11.343833,39.780333,2373.000000,585148.734131,1254111.73624,0.000000,,
Amahara,South Wollo,Werebabo,Bokokesa HC,Health Center,11.435983,39.872650,1684.000000,595192.214140,1264330.75303,0.000000,,
Amahara,Oromia,Dewie Harawa,Bora HC,Health Center,10.676467,40.040567,1578.000000,613803.530817,1180398.04638,0.000000,,
Amahara,South Wollo,Dessie Town,Boru meda hospital,Hospital,11.220033,39.609467,2610.000000,566531.779584,1240377.65309,0.000000,,
Amahara,South Wollo,Dassie Town,Buanbua wuha HC,Health Center,11.140667,39.636617,2494.000000,569514.599866,1231607.70598,0.000000,,
Amahara,North Shoa,Hageremariam Kesem,Bulga health centre,Health Center,9.206000,39.403533,2668.000000,544328.930310,1017652.06565,0.000000,,
Amahara,West Gojjam,Bure,Bure HC,Health Center,10.704550,37.057850,2086.000000,287585.456705,1183980.59255,0.000000,,
Amahara,North Shoa,Angolella and Tera,Chacha health centre,Health Center,9.537983,39.456383,2774.000000,550087.105708,1054364.05335,0.000000,,
Amahara,Awi,Ankesha / Gnagsha Shiwdad,Chagni HC,Health Center,10.954667,36.502783,1645.000000,227072.135463,1212097.70618,0.000000,,
Amahara,Oromia,Dewa Chafa,Charati debesi HC,Health Center,10.589317,39.919700,1432.000000,600612.131778,1170718.99294,0.000000,,
Amahara,Oromia,Artuma Fursi,Chefarobit HC,Health Center,10.552067,39.925133,1466.000000,601218.771068,1166601.61160,0.000000,,
Amahara,South Wollo,Dessie Zuria,Cherecha health centre,Health Center,10.975100,39.409083,3272.000000,544693.936362,1213256.60765,0.000000,,
Amahara,North Wollo,Delanta,Chew kutir HC,Health Center,11.520167,39.085050,2887.000000,509274.521036,1273496.87670,0.000000,,
Amahara,Waghimra,Dhana,Chila HC,Health Center,12.440450,38.837400,2309.000000,482328.747190,1375263.90938,0.000000,,
Amahara,North Gondar,Dabat,Dabat HC,Health Center,12.975600,37.756083,2583.000000,365085.222155,1434766.29837,0.000000,,
Amahara,Awi,Dangla,Dangla HC,Health Center,11.253533,36.840533,2114.000000,264243.545314,1244880.28981,0.000000,,
Amahara,North Gondar,Debark,Debark district hospital,Hospital,13.138467,37.889300,2827.000000,379614.496473,1452713.56856,0.000000,,
Amahara,North Gondar,Debark,Debark HC,Health Center,13.154367,37.902633,2866.000000,381067.479435,1454465.86947,0.000000,,
Amahara,East Gojjam,Enarj Enawega,Deberework HC,Health Center,10.653283,38.156417,2505.000000,407734.566421,1177768.81365,0.000000,,
Amahara,North Shoa,Debre Birhan Town,Debre birhan HC,Health Center,9.668450,39.523400,2796.000000,557420.241661,1068799.56406,0.000000,,
Amahara,North Shoa,Debre Birhan Town,Debre birhan hospital,Hospital,9.674200,39.543333,2821.000000,559606.100823,1069438.73822,0.000000,,
Amahara,East Gojjam,Debre Elias,Debre elias HC,Health Center,10.307500,37.454283,2207.000000,330738.743577,1139819.69133,0.000000,,
Amahara,East Gojjam,debaye Telatigin,Debre eyesus HC,Health Center,10.603167,37.925800,2801.000000,382489.635765,1172304.66256,0.000000,,
Amahara,East Gojjam,Debre Markos,Debre markos HC,Health Center,10.335533,37.723283,2454.000000,360212.621120,1142790.07303,0.000000,,
Amahara,East Gojjam,Debremarkos Administrative,Debre markos zonal hospital,Hospital,10.321033,37.722117,2473.000000,360078.449819,1141187.00529,0.000000,,
Amahara,South Gondar,Debretabor,Debre tabor HC,Health Center,11.856950,38.002967,2674.000000,391401.913186,1310929.68649,0.000000,,
Amahara,South Gondar,Debretabor,Debre tabor hospital,Hospital,11.851967,38.008250,2691.000000,391975.473561,1310376.51633,0.000000,,
Amahara,North Shoa,Tamraber,Debresina health centre,Health Center,9.840850,39.756650,2695.000000,582967.760977,1087910.02638,0.000000,,
Amahara,South Wollo,Mekidela,Debrezeit HC,Health Center,11.192500,38.945000,2893.000000,493995.520126,1237264.94308,0.000000,,
Amahara,South Wollo,Kalu,Degan HC,Health Center,11.139567,39.890167,1519.000000,597202.835523,1231557.34739,0.000000,,
Amahara,South Wollo,Kelela,Deger HC,Health Center,10.444500,38.985133,1884.000000,498372.943156,1154558.67925,0.000000,,
Amahara,South Wollo,Jama,Degolo health centre,Health Center,10.423833,39.257917,2580.000000,528229.199638,1152285.09647,0.000000,,
Amahara,East Gojjam,Dejine,Dejen HC,Health Center,10.169150,38.155833,2452.000000,407528.215135,1124234.68482,0.000000,,
Amahara,North Gondar,Takusa,Delgi HC,Health Center,12.189333,37.040617,1815.000000,286815.223090,1348259.76932,0.000000,,
Amahara,West Gojjam,Dembecha,Dembecha HC,Health Center,10.574000,37.476250,2113.000000,333286.796852,1169283.93515,0.000000,,
Amahara,North Shoa,Sia Debirna Wayu,Deneba health centre,Health Center,9.753850,39.189517,2672.000000,520785.652514,1078203.30349,0.000000,,
Amahara,North Gondar,Alefa,Dengel ber HC,Health Center,11.941500,36.992767,1820.000000,281406.238206,1320877.33871,0.000000,,
Amahara,South Wollo,Dessie Town,Dessie HC,Health Center,11.120683,39.635283,2482.000000,569373.732567,1229397.68159,0.000000,,
Amahara,South Wollo,Dessie Town,Dessie referal hospital,Hospital,11.124983,39.635133,2470.000000,569356.334903,1229873.13065,0.000000,,
Amahara,East Gojjam,Blubugn,Digo tsion HC,Health Center,10.840217,37.736467,2837.000000,361882.482061,1198598.66279,0.000000,,
Amahara,Awi,Banja Shikudad,Dinkera HC,Health Center,10.971217,36.758617,2126.000000,255060.602907,1213708.99022,0.000000,,
Amahara,West Gojjam,Semen Achefer,Durbete HC,Health Center,11.353667,36.953917,1979.000000,276704.607222,1255870.13497,0.000000,,
Amahara,South Gondar,Ebinat,Ebinat HC,Health Center,12.129667,38.055500,2210.000000,397227.721254,1341069.99313,0.000000,,
Amahara,North Shoa,Moretna Jiru,Enewarie health centre,Health Center,9.890717,39.142883,2665.000000,515664.590937,1093333.13553,0.000000,,
Amahara,North Gondar,Gonder Zuriya,Enfranz HC,Health Center,12.255483,37.622867,1941.000000,350215.965815,1355186.89831,0.000000,,
Amahara,South Gondar,Estie,Estie HC,Health Center,11.605000,38.055117,2369.000000,396989.210107,1283046.79637,0.000000,,
Amahara,East Gojjam,Enarj Enawega,Felege birhan HC,Health Center,10.739567,38.069533,2655.000000,398259.870626,1187337.39491,0.000000,,
Amahara,Bahirdar Liyu,Bahirdar administration,Felege hiwot referal hospital,Hospital,11.604283,37.368833,1787.000000,322155.659844,1283305.99811,0.000000,,
Amahara,West Gojjam,Jabi Tehnan,Fenote selam hospital,Hospital,10.673867,37.279333,1833.000000,311797.626500,1180442.64153,0.000000,,
Amahara,West Gojjam,Feres Bet,Feresbet HC,Health Center,10.842800,37.605283,2998.000000,347541.543249,1198946.96313,0.000000,,
Amahara,North Wollo,Mekit,Filakit HC,Health Center,11.768583,38.737150,2938.000000,471362.119878,1300977.64201,0.000000,,
Amahara,South Wollo,Dessie Zuria,Gelsha HC,Health Center,10.990967,39.556667,2963.000000,560815.149647,1215036.94006,0.000000,,
Amahara,West Gojjam,Gonj Kollela,Geregera HC,Health Center,11.174183,37.602283,2285.000000,347384.315309,1235599.87644,0.000000,,
Amahara,South Wollo,Legambo,Gimba health centre,Health Center,10.908417,39.301683,3242.000000,532967.320799,1205869.47647,0.000000,,
Amahara,West Gojjam,Sekela,Gishabay HC,Health Center,10.994000,37.205983,2707.000000,303980.861250,1215901.39705,0.000000,,
Amahara,North Wollo,Kobo,Gobiye HC,Health Center,11.942583,39.657883,1704.000000,571633.151171,1320289.73041,0.000000,,
Amahara,North Gondar,Gondar town,Gondar HC,Health Center,12.602983,37.468517,2221.000000,333645.794484,1393716.99848,0.000000,,
Amahara,North Gondar,Gondar town,Gondar referal hospital,Hospital,12.618333,37.455500,2169.000000,332241.571079,1395423.29403,0.000000,,
Amahara,South Gondar,Wolesh,Gono HC,Health Center,11.507000,37.990067,2504.000000,389858.554955,1272233.26741,0.000000,,
Amahara,North Gondar,Dembia,Gorgora HC,Health Center,12.235567,37.290717,1825.000000,314066.829376,1353190.26392,0.000000,,
Amahara,North Wollo,Delanta,Gosh meda HC,Health Center,11.537483,39.237783,2281.000000,525928.237074,1275421.04292,0.000000,,
Amahara,North Shoa,Basona worena,Goshebado health centre,Health Center,9.740767,39.455333,2811.000000,549942.032199,1076784.53763,0.000000,,
Amahara,South Wollo,Dessie Zuria,Guguftu health centre,Health Center,10.906850,39.491850,3420.000000,553749.000854,1205723.47824,0.000000,,
Amahara,East Gojjam,Gonchasiso Enseie,Gundweyen HC,Health Center,10.921450,38.094667,2668.000000,401067.967398,1207442.24181,0.000000,,
Amahara,East Gojjam,Dejene,Hagerselam HC,Health Center,10.241817,38.206317,2418.000000,413078.332019,1132255.83791,0.000000,,
Amahara,South Wollo,Haik 05,Haik HC,Health Center,11.305000,39.673483,1983.000000,573498.805593,1249788.44959,0.000000,,
Amahara,Waghimra,Sekota Town,Hamusit HC,Health Center,12.456567,39.151700,2035.000000,516485.628737,1377045.42257,0.000000,,
Amahara,Bahirdar Liyu,Bahirdar administration,Han HC,Health Center,11.588333,37.385533,1800.000000,323966.895049,1281531.30127,0.000000,,
Amahara,North Wollo,Guba lafto,Hara HC,Health Center,11.835967,39.740133,1497.000000,580620.695658,1308522.06617,0.000000,,
Amahara,South Wollo,Dessie Zuria,Hara wobelo HC,Health Center,11.022750,39.638133,2748.000000,569708.130834,1218569.13677,0.000000,,
Amahara,South Wollo,Kalu,Harbu HC,Health Center,10.920850,39.775767,1466.000000,584772.681273,1207336.53500,0.000000,,
Amahara,South Wollo,Legambo,Hider 11 hospital,Hospital,10.857917,39.173350,3087.000000,518946.458673,1200274.68488,0.000000,,
Amahara,Awi,Banja Shikudad,Injibara HC,Health Center,10.955133,36.922033,2553.000000,272914.174436,1211801.33448,0.000000,,
Amahara,West Gojjam,Jabi Tehnan,Jiga HC,Health Center,10.670417,37.371117,1819.000000,321837.264807,1180006.65566,0.000000,,
Amahara,North Shoa,Moretna Jiru,Jihur health centre,Health Center,10.018833,39.240317,2644.000000,526336.182263,1107504.38085,0.000000,,
Amahara,South Wollo,Worielu,Kabie health centre,Health Center,10.822617,39.475000,2902.000000,551922.160059,1196406.60231,0.000000,,
Amahara,South Wollo,Kelela,Kelela HC,Health Center,10.585250,39.013500,2541.000000,501476.815197,1170120.98096,0.000000,,
Amahara,Oromia,Kemissie City administration,Kemissie health centre,Health Center,10.718950,39.857233,1423.000000,593738.334987,1185034.31900,0.000000,,
Amahara,North Shoa,Basona worena,Keyit health centre,Health Center,9.724467,39.660500,2948.000000,572449.506924,1075019.34342,0.000000,,
Amahara,Waghimra,Ziquala,Kidamit HC,Health Center,12.873967,38.854500,2209.000000,484213.842549,1423202.70377,0.000000,,
Amahara,South Gondar,Farta,Kimir dengay HC,Health Center,11.807867,38.208283,2961.000000,413751.356624,1305429.99687,0.000000,,
Amahara,North Gondar,Dembia,Koladba HC,Health Center,12.421567,37.320933,1836.000000,317483.407139,1373745.74168,0.000000,,
Amahara,South Wollo,Kombolcha Town,Kombolcha HC,Health Center,11.086833,39.736017,1835.000000,580383.724327,1225679.95005,0.000000,,
Amahara,North Gondar,Dembia,Konger HC,Health Center,12.373833,37.119233,1867.000000,295514.329165,1368611.33376,0.000000,,
Amahara,Waghimra,Dhana,Koziba HC,Health Center,12.476583,38.919567,2461.000000,491259.780509,1379255.51925,0.000000,,
Amahara,West Gojjam,Semen Achefer,Kunzela HC,Health Center,11.873950,37.025767,1797.000000,284948.202007,1313377.89878,0.000000,,
Amahara,North Wollo,Dawint,Kurba/chet HC,Health Center,11.455000,38.901983,2724.000000,489309.035448,1266291.57369,0.000000,,
Amahara,South Wollo,Kutabar,Kutaber HC,Health Center,11.272883,39.540600,2747.000000,559003.048286,1246206.95807,0.000000,,
Amahara,East Gojjam,Debay Telategin,Kuy HC,Health Center,10.505250,37.986717,2644.000000,389119.108427,1161454.34948,0.000000,,
Amahara,North Wollo,Lalibela Town,Lalibela HC,Health Center,12.043167,39.039850,2482.000000,504337.343592,1331327.24332,0.000000,,
Amahara,North Shoa,Ensaro Wayu,Lemi HC,Health Center,9.802917,38.901700,2656.000000,489220.328121,1083623.96618,0.000000,,
Amahara,South Wollo,Kelela,Liquama HC,Health Center,10.654000,39.156783,2528.000000,517147.298396,1177726.81929,0.000000,,
Amahara,East Gojjam,Awabel,Lumamei HC,Health Center,10.242133,37.935083,2496.000000,383371.022645,1132376.53559,0.000000,,
Amahara,North Shoa,Antsokia Gimza,Majetie health centre,Health Center,10.489583,39.856867,1668.000000,593768.044893,1159671.01332,0.000000,,
Amahara,North Gondar,Janamora,Makane berhan HC,Health Center,13.013000,38.116500,2945.000000,404193.611010,1438739.68073,0.000000,,
